ID,degr_class,orig_species,canopy_width,canopy_length,height,species,plot_size,bsd,yc,yc_lc,yc_uc,area,vol
PV24,Intact,P.afra,55,107,121,P.afra,5,None,0.6171978893771303,0.4886149957568948,3.40744668093624,0.5152997350050659,0.6235126793561298
PV24,Intact,P.afra,26,30,41,P.afra,5,None,0.030292022650662713,0.023981184598441316,0.16723720838386705,0.061575216010359944,0.025245838564247575
PV24,Intact,P.afra,49,71,51,P.afra,5,None,0.15584564291398426,0.12337780064023754,0.8603978202542881,0.2827433388230814,0.1441991027997715
PV24,Intact,I.sylvatica,29,51,39,I.sylvatica,5,None,0.025888422099870363,0.04045065953104744,0.07227184502880477,0.12566370614359174,0.049008845396000776
PV24,Intact,P.afra,52,72,71,P.afra,5,None,0.22622134111854408,0.17909189505218073,1.2489303207586286,0.30190705400997914,0.21435400834708518
PV24,Intact,I.sylvatica,16,30,51,I.sylvatica,5,None,0.013460517672789737,0.021032058863733966,0.037577278503204685,0.04154756284372501,0.021189257050299753
PV24,Intact,C.ovata,36,32,25,C.ovata,5,None,0.013277474995200704,0.005808895310400308,0.12862553901600682,0.09079202768874502,0.022698006922186254
PV24,Intact,C.haematocarpa,97,111,140,C.haematocarpa,5,None,4.616350464188786,5.578090144228116,16.541922496676484,0.8494866535306801,1.189281314942952
PV24,Intact,A.racemosus,96,122,157,A.racemosus,5,None,0.09293963553021682,0.0774496962751807,0.4840606017198793,0.9331315579325082,1.4650165459540379
PV25,Intact,E.undulata,148,193,227,E.undulata,5,None,2.645624482810727,2.755858836261174,11.078552521769918,2.283172095950467,5.18280065780756
PV25,Intact,E.mauritanica,236,482,174,E.mauritanica,5,None,1.3366839610466117,0.94681780574135,8.215036843932301,10.122290069682654,17.612784721247813
PV25,Intact,P.pyracantha,235,264,161,P.pyracantha,5,None,4.846430356200551,2.625149776275298,38.367573653254354,4.8891232021032005,7.871488355386153
PV25,Intact,A.capensis,125,158,137,A.capensis,5,None,0.17071030162890624,0.14225858469075522,0.88911615431722,1.5725438377084557,2.1543850576605843
PV25,Intact,Z.morgsana,174,186,184,Z.morgsana,5,None,2.0968431659796503,1.4852639092355857,12.71211169375163,2.5446900494077322,4.682229690910227
PV25,Intact,S.longispina,98,236,159,S.longispina,5,None,1.8718680759520618,2.378832346522412,6.395549259502878,2.1903969378991435,3.482731131259638
PV25,Intact,S.longispina,110,218,230,S.longispina,5,None,2.735915426989881,3.4768925217996407,9.347711042215428,2.112406900273777,4.858535870629687
PV25,Intact,C.haematocarpa,84,123,91,C.haematocarpa,5,None,0.9177488724224107,1.1089465541770795,3.288600126180305,0.8413381475854316,0.7656177143027427
PV25,Intact,C.perforata,106,148,65,C.perforata,5,None,0.2765332799913604,0.3859943699879406,0.8641664999730013,1.2667686977437442,0.8233996535334338
PV25,Intact,L.ferocissimum,28,32,35,L.ferocissimum,5,None,0.13473363167090258,0.0757876678148827,1.0329578428102533,0.07068583470577035,0.02474004214701962
PV25,Intact,L.ferocissimum,54,91,47,L.ferocissimum,5,None,0.36646761075145606,0.20613803104769407,2.8095850157611637,0.4128249096357838,0.19402770752881837
PV25,Intact,E.undulata,151,187,217,E.undulata,5,None,2.585533899408474,2.6932644785504936,10.826923203772983,2.243175694479452,4.867691257020411
PV25,Intact,L.ferocissimum,92,94,214,L.ferocissimum,5,None,1.6425830066430025,0.9239529412366889,12.593136384263019,0.679290871522453,1.4536824650580493
PV25,Intact,C.ovata,126,136,211,C.ovata,5,None,3.739158793997896,1.6358819723740794,36.22310081685462,1.347821788206361,2.843903973115421
PV25,Intact,E.undulata,151,193,205,E.undulata,5,None,2.7065668995073673,2.8193405203201745,11.333748891687101,2.323521926595011,4.7632199495197725
PV25,Intact,E.undulata,132,147,173,E.undulata,5,None,1.5701377095501792,1.63556011411477,6.574951658741375,1.5284044609255192,2.6441397174011483
PV25,Intact,E.mauritanica,215,194,114,E.mauritanica,5,None,0.4219057683328454,0.2988499192357655,2.592962534545612,3.284554754282214,3.744392419881724
PV25,Intact,C.ovata,25,39,56,C.ovata,5,None,0.04444924628856604,0.01944654525124764,0.4306020734204835,0.0804247719318987,0.045037872281863275
PV25,Intact,Crassula sp3,11,21,24,Crassula sp3,5,None,0.005618461008883822,0.007842435158233668,0.017557690652761943,0.020106192982974676,0.004825486315913922
PV25,Intact,Crassula sp3,19,21,32,Crassula sp3,5,None,0.010748931204044056,0.015003716472311496,0.03359041001263768,0.031415926535897934,0.010053096491487338
PV25,Intact,C.orbiculata,7,9,12,C.orbiculata,5,None,0.0019490641536226605,0.0021926971728254935,0.007471412588886866,0.005026548245743669,0.0006031857894892403
PV25,Intact,S.longispina,64,78,108,S.longispina,5,None,0.17134091350251357,0.21774574424277765,0.5854147878002547,0.39591921416865367,0.42759275130214597
PV25,Intact,L.ferocissimum,193,166,125,L.ferocissimum,5,None,1.8188354403855653,1.0230949352168808,13.944405042956003,2.5305725174206635,3.163215646775829
PV25,Intact,L.ferocissimum,97,132,94,L.ferocissimum,5,None,0.9741110079763461,0.5479374419866947,7.468184394485321,1.0296766271681395,0.9678960295380512
PV25,Intact,Crassula sp3,86,91,86,Crassula sp3,5,None,0.24942943513570948,0.34816191987692785,0.779466984799092,0.6151434765269664,0.5290233898131912
PV25,Intact,C.orbiculata,84,95,167,C.orbiculata,5,None,0.367770465154525,0.41374177329884065,1.4097867830923458,0.629123563835441,1.0506363516051864
PV25,Intact,Crassula sp3,16,24,29,Crassula sp3,5,None,0.00948571928327709,0.013240483166240938,0.029642872760240906,0.031415926535897934,0.0091106186954104
PV25,Intact,Crassula sp3,39,71,23,Crassula sp3,5,None,0.025537106268760386,0.03564554416681138,0.07980345708987621,0.23758294442772812,0.05464407721837747
PV25,Intact,Crassula sp3,6,10,25,Crassula sp3,5,None,0.0024537189153300523,0.003424982652648198,0.0076678716104064135,0.005026548245743669,0.0012566370614359172
PV26,Intact,B.oleoides,81,112,116,B.oleoides,5,None,0.14169768227612597,0.15350582246580316,0.5638386940570846,0.7313824047097888,0.848403589463355
PV26,Intact,P.afra,71,85,110,P.afra,5,None,0.5256556366610498,0.41614404568999774,2.9020571607328787,0.4778362426110075,0.5256198668721082
PV26,Intact,C.perforata,91,108,48,C.perforata,5,None,0.138015670729909,0.19264687372716466,0.43129897103096565,0.7775638167175587,0.3732306320244282
PV26,Intact,C.muscosa,82,89,52,C.muscosa,5,None,0.1930879530425675,0.26549593543353034,0.615467850323184,0.5741456923976196,0.2985557600467622
PV26,Intact,G.robusta,141,156,91,G.robusta,5,None,1.473695412699739,1.7193113148163623,5.4649538220948655,1.7319796648781378,1.5761014950391055
PV26,Intact,G.robusta,75,91,62,G.robusta,5,None,0.31359063942236853,0.3658557459927633,1.1628986211912833,0.5410607947645021,0.33545769275399134
PV26,Intact,P.afra,155,163,136,P.afra,5,None,2.4479780324751386,1.937982609042818,13.514878720956494,1.9855650968850889,2.7003685317637207
PV26,Intact,P.afra,106,152,174,P.afra,5,None,2.0829521693795,1.6490038007587708,11.499631768449321,1.3069810837096936,2.274147085654867
PV26,Intact,C.ovata,61,92,182,C.ovata,5,None,1.2311302601468306,0.5386194888142384,11.926574395172421,0.4596346401742717,0.8365350451171745
PV26,Intact,P.afra,171,195,183,P.afra,5,None,4.21469761722426,3.336635613635873,23.268643095092273,2.6302199094017147,4.813302434205137
PV26,Intact,P.afra,121,164,187,P.afra,5,None,2.687555266381864,2.1276479192189757,14.83754469981654,1.5948491455489435,2.9823679021765246
PV26,Intact,P.pyracantha,51,81,100,P.pyracantha,5,None,0.6117609717579932,0.331370526368913,4.843107693084113,0.3421194399759285,0.3421194399759285
PV26,Intact,P.pyracantha,71,162,179,P.pyracantha,5,None,1.9020283858264886,1.0302653756560147,15.057724721126368,1.0659620223171018,1.9080720199476122
PV26,Intact,C.woodii,54,62,50,C.woodii,5,None,0.14346950782523687,0.1614031963033915,0.5499664466634081,0.2642079421669016,0.1321039710834508
PV26,Intact,C.perforata,65,66,51,C.perforata,5,None,0.0876510838979111,0.12234630460750091,0.27390963718097217,0.33695544705159025,0.17184727799631103
PV26,Intact,C.ovata,71,109,187,C.ovata,5,None,1.673836756286018,0.7323035808751328,16.2152935765208,0.6361725123519331,1.189642598098115
PV26,Intact,C.perforata,75,79,101,C.perforata,5,None,0.2563587126372973,0.3578340363895609,0.8011209769915542,0.4656625710783471,0.4703191967891306
PV26,Intact,G.robusta,136,187,124,G.robusta,5,None,1.8422742669157348,2.1493199780683576,6.83176707314585,2.0484951247273098,2.5401339546618638
PV26,Intact,P.pyracantha,119,120,193,P.pyracantha,5,None,2.067174937977017,1.1197197580708844,16.365134925651386,1.1215682122856412,2.1646266497112876
PV26,Intact,E.undulata,244,333,181,E.undulata,5,None,10.385416773578724,10.818142472477838,43.488932739360905,6.537045628543726,11.832052587664144
PV26,Intact,C.woodii,54,58,153,C.woodii,5,None,0.13295016511316185,0.1495689357523071,0.5096422996004538,0.24630086404143978,0.37684032198340284
PV26,Intact,C.woodii,51,62,112,C.woodii,5,None,0.13553953588404166,0.15248197786954687,0.5195682208888264,0.25071872871055045,0.28080497615581645
PV26,Intact,I.sylvatica,83,91,177,I.sylvatica,5,None,0.2830940769253812,0.4423344951959081,0.7903042980833559,0.5944678698755286,1.0522081296796857
