ID,Stratum,Size,N,Vol,VolHa,MaxVol,95%Vol,Height,HeightHa,MeanHeight,MaxHeight,95%Height,MeanArea,MaxArea,95%Area,Abc,AbcHa,LitterC,LitterCHa,AgcHa
MV31,Moderate,10,252,219.8660257274908,21986.60257274908,19.06603129032518,3.7544638750552797,18118.0,1811800.0,71.89682539682539,371,190.79999999999995,0.6412934953768473,6.0480567320124745,2.4051827188865547,199.160721845849,19916.0721845849,0.40908921928041403,4090.8921928041404,24006.964377389042
MV32,Moderate,10,107,92.2273805314657,9222.73805314657,24.279601688329706,3.56423048495869,5942.0,594200.0,55.532710280373834,269,185.19999999999993,0.5473008565743924,9.025874233579817,2.178949759667623,64.99524202269512,6499.524202269513,0.5306706243774575,5306.706243774575,11806.230446044088
MV33,Moderate,10,264,140.5286293061352,14052.86293061352,10.781553288038472,2.8367552888496546,16241.0,1624100.0,61.51893939393939,304,188.5999999999999,0.46770482942765873,4.987592496839156,1.931817355320688,124.25104309644034,12425.104309644033,0.28523565904069986,2852.3565904069987,15277.460900051032
MV34,Moderate,10,263,178.947943214717,17894.794321471698,36.466744370288744,2.146660470374028,16066.0,1606600.0,61.08745247148289,341,143.79999999999995,0.4986721391727889,10.694059932635994,1.7884223038906952,159.46184479446504,15946.184479446505,0.23361654205607474,2336.1654205607474,18282.34990000725
MV35,Moderate,10,83,186.18562526606797,18618.562526606795,37.27567541885607,15.34034077151019,6424.0,642400.0,77.39759036144578,274,205.79999999999998,1.285751913292488,14.119574022293968,6.203202321714579,138.3024455982017,13830.24455982017,0.3569962665957447,3569.962665957447,17400.207225777616
MV4,Moderate,10,125,154.93622631005616,15493.622631005615,15.94557487940966,5.400431072402982,9008.0,900800.0,72.064,239,187.39999999999998,0.8956800035905339,8.219368494541062,3.8288474624890934,106.52034872228599,10652.034872228598,0.6926544,6926.544,17578.578872228598
MV5,Moderate,10,208,395.6345856778889,39563.45856778889,112.23475236132722,4.796728108040608,19297.0,1929700.0,92.77403846153847,441,224.64999999999998,0.8593654898046635,25.74191567920349,2.172730387961222,297.1256556584023,29712.56556584023,0.8190781110207798,8190.781110207798,37903.34667604802
MV6,Moderate,10,182,110.64239744399569,11064.239744399569,15.847145639980036,2.483809557342805,10320.0,1032000.0,56.7032967032967,212,125.94999999999999,0.52807238052168,8.168631773185586,2.137599528112454,103.17111693465351,10317.111693465351,0.08142239999999999,814.2239999999999,11131.335693465351
MV8,Moderate,10,35,96.98518830224151,9698.518830224151,38.95174887166725,14.196071862313667,2300.0,230000.0,65.71428571428571,332,196.99999999999983,1.2984163167378444,13.331662584773646,7.483214795988615,51.323806665008,5132.3806665008005,0.4584912,4584.912,9717.292666500802
MV9,Moderate,10,25,127.40158159613293,12740.158159613293,47.813390851493516,15.99708403985882,3048.0,304800.0,121.92,304,219.6,2.794159209640317,15.728089095886025,7.6014761244422,102.01528567176916,10201.528567176916,0.1254672,1254.672,11456.200567176917
PV1,Intact,10,100,314.9864235354237,31498.642353542367,16.78815356339418,11.584567068302942,15339.0,1533900.0,153.39,316,245.14999999999998,1.713390664797306,7.669903939428205,4.812546881171947,243.74181508648113,24374.18150864811,1.3155168,13155.168,37529.34950864811
PV10,Intact,10,102,357.7058671977817,35770.58671977817,22.802987167696774,14.05023966147785,13733.0,1373300.0,134.63725490196077,324,274.4999999999999,1.7161094244896633,8.604900817998782,6.379769646323383,259.5773028177362,25957.73028177362,1.3115494560910594,13115.494560910594,39073.22484268421
PV11,Intact,10,160,403.6754749923419,40367.547499234184,145.84619761289733,6.093173850969011,16038.0,1603800.0,100.2375,480,270.04999999999995,1.0519798487947554,37.882129250103205,2.8918478186018466,294.75359041771026,29475.359041771026,0.5335844856230033,5335.844856230033,34811.203898001055
PV12,Intact,10,45,222.82886490068407,22282.88649006841,36.79458939499447,24.504422698000376,6634.0,663400.0,147.42222222222222,345,247.19999999999993,2.536613974626442,11.762829753387244,9.909337211659068,175.31545934009273,17531.54593400927,1.4480448000000001,14480.448000000002,32011.993934009275
PV13,Intact,10,124,382.65994192895,38265.994192895,54.30172981658461,10.702541545577294,17122.0,1712200.0,138.08064516129033,415,244.85,1.4801027905693842,17.460363285075438,4.6893807411879616,306.40155174754483,30640.15517475448,1.3415519999999999,13415.519999999999,44055.67517475448
